DLL injected!
CTestTraceline->m_clrRender: 70
CTestTraceline->m_vecOrigin: 138
CTestTraceline->m_angRotation[0]: 12c
CTestTraceline->m_angRotation[1]: 130
CTestTraceline->m_angRotation[2]: 134
CTestTraceline->moveparent: 148
CTEWorldDecal->m_vecOrigin: 10
CTEWorldDecal->m_nIndex: 1c
CTESpriteSpray->m_vecOrigin: 10
CTESpriteSpray->m_vecDirection: 1c
CTESpriteSpray->m_nModelIndex: 28
CTESpriteSpray->m_fNoise: 30
CTESpriteSpray->m_nCount: 34
CTESpriteSpray->m_nSpeed: 2c
CTESprite->m_vecOrigin: 10
CTESprite->m_nModelIndex: 1c
CTESprite->m_fScale: 20
CTESprite->m_nBrightness: 24
CTESparks->m_nMagnitude: 1c
CTESparks->m_nTrailLength: 20
CTESparks->m_vecDir: 24
CTESmoke->m_vecOrigin: 10
CTESmoke->m_nModelIndex: 1c
CTESmoke->m_fScale: 20
CTESmoke->m_nFrameRate: 24
CTEShowLine->m_vecEnd: 1c
CTEProjectedDecal->m_vecOrigin: 10
CTEProjectedDecal->m_angRotation: 1c
CTEProjectedDecal->m_flDistance: 28
CTEProjectedDecal->m_nIndex: 2c
CFEPlayerDecal->m_nUniqueID: 9d8
CFEPlayerDecal->m_unAccountID: 9dc
CFEPlayerDecal->m_unTraceID: 9e0
CFEPlayerDecal->m_rtGcTime: 9e4
CFEPlayerDecal->m_vecEndPos: 9e8
CFEPlayerDecal->m_vecStart: 9f4
CFEPlayerDecal->m_vecRight: a00
CFEPlayerDecal->m_vecNormal: a0c
CFEPlayerDecal->m_nEntity: a1c
CFEPlayerDecal->m_nPlayer: a18
CFEPlayerDecal->m_nHitbox: a20
CFEPlayerDecal->m_nTintID: a24
CFEPlayerDecal->m_flCreationTime: a28
CFEPlayerDecal->m_nVersion: a2c
CFEPlayerDecal->m_ubSignature: a2d
CTEPlayerDecal->m_vecOrigin: 14
CTEPlayerDecal->m_vecStart: 20
CTEPlayerDecal->m_vecRight: 2c
CTEPlayerDecal->m_nEntity: 38
CTEPlayerDecal->m_nPlayer: 10
CTEPlayerDecal->m_nHitbox: 3c
CTEPhysicsProp->m_vecOrigin: 10
CTEPhysicsProp->m_angRotation[0]: 1c
CTEPhysicsProp->m_angRotation[1]: 20
CTEPhysicsProp->m_angRotation[2]: 24
CTEPhysicsProp->m_vecVelocity: 28
CTEPhysicsProp->m_nModelIndex: 34
CTEPhysicsProp->m_nFlags: 3c
CTEPhysicsProp->m_nSkin: 38
CTEPhysicsProp->m_nEffects: 40
CTEPhysicsProp->m_clrRender: 44
CTEParticleSystem->m_vecOrigin[0]: 10
CTEParticleSystem->m_vecOrigin[1]: 14
CTEParticleSystem->m_vecOrigin[2]: 18
CTEMuzzleFlash->m_vecOrigin: 10
CTEMuzzleFlash->m_vecAngles: 1c
